id,bracket_contestant_uuid,bracket_id,bear_id
1,dde7a48e-e24e-456e-bd25-50f801c1a4e0,1,
2,3768fa43-d436-4018-9838-11bd308bc011,2,
3,a8283d14-156b-4070-b094-45688c6f2268,3,
4,64b4710b-1b07-48d0-aee6-fba0e782c679,4,
5,9686e55f-7e34-4b64-88a5-07ecc50b07c1,5,
6,0fba2ada-c356-40c1-b94a-62081f8d46a3,6,
7,53f1d64a-6f30-4dc0-95c1-ff0712a22f4b,8,7
8,6b0eb4d1-e148-445f-8d93-69fcf688d8c2,9,10
9,a31d018e-d3c6-45ce-acd8-44279cc0483a,10,12
10,f7b537f6-b2c9-40d7-aafb-6cb08e6c27fd,11,6
11,9ae4a91f-0ec6-4040-8934-e25f9e65dfcc,12,2
12,f176cd6e-83ee-4316-8e6b-93d9d4d2ae6a,13,1
13,41418df9-2f26-4b7b-a86d-c0da124eba4a,14,12
14,04d0d711-e8c9-4817-bb47-24fde713de47,15,11
15,2ada336f-1d18-40a9-a338-e096437f0b5b,16,4
16,2e629e6f-3ae6-435e-a797-e24062b6c7a2,17,12
17,2ec6bab5-0755-48d9-8720-5c5cae003885,18,5
18,f247fdf0-0ca3-47fc-a391-d9f57f9fee48,19,5
19,62cce5ec-1deb-429b-b1f7-38900afb7f51,20,6
20,1ee12cad-7a90-4aac-a376-34ccf8e288fc,21,1
21,bd41d528-a1a4-4b65-84d9-afb77ad9beb3,22,16
22,c46d741d-e6c4-4779-b09b-8acdbea83b69,23,5
23,280f8020-f19a-40ce-a6c3-6d138746d0ba,24,11
24,0620f490-1fbc-483a-83d9-a4ec9454b89b,25,1
25,8b58241b-a2c0-4775-99f4-a9bdeadf84af,26,2
26,31d1b9ef-eac7-4b28-ba86-d3f3c41ba30b,27,5
27,7bd7aeca-e7dd-4f59-aff7-22326e0a5cd8,28,1
28,b652093b-4e09-4b97-9208-9b27ec7786c3,96,
29,3d531138-84b5-4dca-84dc-26773c2feb9d,29,11
30,12600db4-959f-4203-a308-3106f0d64d52,30,23
31,72eb57de-5c50-450a-b668-e0039f57c311,31,24
32,07b5f7c5-09b0-4305-abd3-7a74b794b5a2,32,5
33,9e1745f5-9fa3-432e-8ea7-a1a6286e9516,33,25
34,12ccffc6-10d8-4c74-a6ed-e2c0cb60a92e,34,1
35,196b65b6-cd7d-4c17-a740-d4e2e713ccc9,35,11
36,5ee7722d-9c38-4e7a-b00a-6906c3ebc783,36,9
37,2714aa9b-f492-46e1-8fb8-f5b18708c6ae,37,7
38,db3d7478-f518-4079-a054-500fb0a5fe18,38,23
39,4d9b4c14-7e8a-4cc6-8aaa-4c1d12341a3c,39,2
40,62bb3f5c-45ff-4c1d-be20-b41b9cd1ffdb,40,23
41,70260758-00d7-4167-8466-63cfef38958d,41,5
42,518773e4-25e6-4671-8df1-a399fbfdfae2,42,24
43,518e216c-1b24-4ecc-b1bf-7f18c5668014,43,12
44,2d51d9ec-a66f-4cca-8ea8-a360557842e0,44,14
45,87225a87-3c01-447c-8c23-895256c1d104,45,8
46,6d85f46b-5af2-47fa-b635-dea55121eb81,46,7
47,d29727e0-4b68-4739-bd56-5a52558b91e4,47,13
48,aeab0ac8-3688-49ac-9ea4-de64bf6b4ee4,48,11
49,a1dcd0e7-bc74-4f08-a112-be68689917fc,97,
50,10c4fe60-3f6b-45e1-a83d-1128b8107b47,98,
51,84ec099b-616d-4e12-9260-cc99efbf43bf,99,
52,79be525f-8468-4c3d-8bc5-f2e844eb5d8f,49,26
53,afac7c81-2ce0-4253-b4ec-e06b1f5a3cd6,50,1
54,8dd7279e-e717-4a54-be1c-53feac376381,51,26
55,1d70f91e-4a65-4831-9dad-a94816c3bb22,52,24
56,f3dea006-f21e-406d-b8f7-d86540f9991a,53,2
57,91bbfa5c-702f-4c69-bcb5-5530f3544ba2,54,14
58,9ad79c42-d96e-4fad-9e2d-ec36bf037993,55,13
59,e1cdf397-bf2d-4ab6-840b-a9dfdb630bdc,56,11
