id,round_uuid,competition_year,round_number,final_round
4,7908761d-6067-4221-9e7d-54f0186788ae,2022,1,f
5,27f9803b-ddc0-44ed-8221-5c06f43ecf4e,2022,2,f
7,5b43f16d-5642-49fa-acc8-16b1b3bd2029,2021,1,f
8,0c807f3a-5670-4075-bbe6-42689dcd9fbf,2021,2,f
9,ced165d1-8e8b-418e-a0ca-13845f181d04,2021,3,f
10,7a31cec4-65df-48df-8bcc-dc46c78ff0c0,2021,4,t
11,f5688ebf-ba35-4211-b39c-ee99e3a57489,2020,1,f
12,8a1dc4c8-3700-4686-a507-ca208ae1486c,2020,2,f
13,f4eb915a-6708-4984-82a9-7e48971ff426,2020,3,f
14,82446422-87fb-4fc2-9d2b-3c82e2c8f786,2020,4,t
15,046b5e07-809e-4cda-ac53-954521db4f2f,2019,1,f
16,3debb2a6-b4ea-4884-95c7-69b8bb1b4ca2,2019,2,f
17,4ce98aaa-6258-461f-8faf-907d82e64b45,2019,3,f
18,c48946f8-d289-47b9-81af-e2378ac4ac7b,2019,4,t
19,2e1e5e15-ed93-43e4-b464-5662cf51c3de,2018,1,f
20,027a5354-06da-4e93-9c2d-1a88dda53d7b,2018,2,f
21,cf882029-e36a-414c-937d-4ffa62f5a1cd,2018,3,f
22,1e074930-c29e-4ee4-9a44-20e385177433,2018,4,t
23,033264f9-acf7-431f-8f63-e950c3787558,2017,1,f
24,3cab95cd-04f8-48c2-a3cf-8ab9a194af55,2017,2,f
25,ec7cd1fb-e77c-41da-8c36-efe189134327,2017,3,f
26,e2fb8f4b-c111-4617-a6c2-7ccfa837533e,2017,4,t
27,fab45792-d0ec-44ba-b5c4-82dad7664fde,2016,1,f
28,81474ddd-7f5c-4527-a139-5c67259ddc09,2016,2,f
29,bfe9c1e2-4250-43f4-baa4-b150381487a2,2016,3,f
30,6a9e7524-256b-470e-a3fa-af4c9a8e9499,2016,4,t
31,505c6201-e618-48e3-b946-80dee0f8f160,2015,1,f
32,99ea1057-e0f4-4063-891c-ee1e636e6ba1,2015,2,f
33,a2c5e213-3db0-49a6-bd79-8bbe8db5359c,2015,3,f
34,d3092bc5-740b-47ea-a73d-2b87e3d6fa86,2015,4,t
35,71a1326d-c190-4882-a0ff-366c903da315,2014,1,f
36,132ceddc-195d-465f-92e8-fbe9d9b9b7b2,2014,2,f
37,2b728e9b-3f49-4bbd-91de-48c85001a6a9,2014,3,f
38,011f7fbd-9fb3-4c05-99bc-08029238ce22,2014,4,t
6,57d04ccb-a928-464e-88f5-56591995f765,2022,3,f
39,34338928-31c2-4fb3-8474-0a913fbc3bc2,2022,4,t
